starId,movieId
nm9425987,AA13
nm9425878,AA13
nm9426633,AA13
nm9429944,AA13
nm9426792,AA13
nm9429945,AA13
nm9429342,AA13
nm9427968,AA13
nm9425513,AA13
nm9424193,AA13
nm9423949,AA13
nm9427319,AA14
nm9424787,AA14
nm9427298,AA14
nm9429946,AA14
nm9426784,AA16
nm9425000,AA16
nm9427102,AA16
nm9425066,AA16
nm9428730,AA16
nm9423295,AA16
nm9428685,AA16
nm9427306,AA16
nm9428257,AA29
nm9424638,AA29
nm9429947,AA29
nm9429948,AA29
nm9425509,AA29
nm9426963,AA29
nm9429949,AA29
nm9426010,AA29
nm9423692,AA37
nm9424611,AA37
nm9427086,AA37
nm9429708,AA37
nm9427470,AA37
nm9424570,AA37
nm9429628,AA37
nm9429950,AA37
nm9427051,AA37
nm9428714,AA38
nm9426824,AA38
nm9429951,AA38
nm9429952,AA38
nm9428125,AA38
nm9428240,AA38
nm9423472,AA38
nm9423922,AA41
nm9429193,AA41
nm9428899,AA41
nm9429202,AA41
nm9429953,AA41
nm9429954,AA41
nm9427057,AA41
nm9429667,AA41
nm9429955,AA41
nm9428125,AA41
nm9429628,AA41
nm9429956,AA41
nm9424338,AA41
nm9429957,AA41
nm9425905,AA41
nm9429958,AA41
nm9429959,AA41
nm9427867,AaB10
nm9428899,AaB10
nm9424907,AaB10
nm9429960,AaB10
nm9429961,AaB10
nm9429962,AaB10
nm9429963,AaB10
nm9429964,AaB10
nm9429965,AAd10
nm9427546,AAd10
nm9424686,AAd10
nm9429966,AAd10
nm9429967,AAd10
nm9429968,AAd10
nm9425215,AAd10
nm9429969,AAh10
nm9423150,AAl6
nm9423905,AAl6
nm9429970,AAl6
nm9424642,AAl6
nm9427451,AAl6
nm9429690,AAl6
nm9423272,AAl6
nm9423150,AAl10
nm9423957,AAl10
nm9428001,AAl10
nm9425967,AAl10
nm9429971,AAl10
nm9425380,AAl10
nm9428508,AAl10
nm9424166,AAl10
nm9428374,AAl20
nm9423150,AAl20
nm9429972,AAl20
nm9426257,AAl20
nm9429973,AAl20
nm9429974,AAl20
nm9429975,AAl20
nm9427983,AAl20
nm9427756,AAl20
nm9429976,AAl20
nm9429903,AAl20
nm9423104,AAn10
nm9429977,AAn10
nm9429978,AAn10
nm9426687,AAn10
nm9429979,AAn12
nm9429980,AAn12
nm9429981,AAn12
nm9428498,AAn14
nm9429982,AAn14
nm9429983,AAn14
nm9426945,AAn14
nm9429984,AAn14
nm9429985,AAn14
nm9423497,AAn14
nm9423403,AAn14
nm9429986,AAn14
nm9429987,AAn14
nm9429988,AAn14
nm9429989,AAn14
nm9429180,AAn14
nm9429779,AAn14
nm9429990,AAn14
nm9428577,AAr10
nm9429445,AAr10
nm9425981,AAr10
nm9429991,AAr10
nm9429992,AAr10
nm9429862,AAr10
nm9429993,AAr10
nm9426287,AAr20
nm9427984,AAr20
nm9428159,AAr20
nm9427127,AAr20
nm9429994,AAS10
nm9429995,AAS10
nm9429607,AAS10
nm9426699,AAS10
nm9429270,AAS10
nm9429996,AAS10
nm9429997,AAt10
nm9429998,AAt10
nm9429999,AAt10
nm9430000,AAt10
nm9430001,AAt10
nm9430002,AB2
nm9430003,AbA10
nm9430004,AbA10
nm9430005,AbA10
nm9430006,AbA10
nm9430007,AbA10
nm9424663,AbA10
nm9423716,ABd4
nm9423628,ABd4
nm9430008,ABe10
nm9429173,AbF10
nm9428860,AbF10
nm9429236,AbF10
nm9430009,AbF10
nm9429542,AbF20
nm9426314,AbF25
nm9430010,AbF25
nm9430011,AbF25
nm9426945,AbF26
nm9426314,AbF26
nm9430012,AbF26
nm9430013,AbF27
nm9430014,AbF27
nm9429288,AbF27
nm9430015,AbF27
nm9430016,AbH1
nm9430017,AbH1
nm9430018,AbH1
nm9424815,ABi10
