id,name,birthYear
nm9429944,Scott Sunderland,
nm9429945,Iris Hoey,
nm9429946,Ronald Culver,
nm9429947,Edith Evans,
nm9429948,Margaret Rurtherford,
nm9429949,Doroty Tutin,
nm9429950,Martin Miller,
nm9429951,Alastair Sim,
nm9429952,Vittorio deSics,
nm9429953,Margaret Rutherford,
nm9429954,Louis Jordon,
nm9429955,Linda Chistian,
nm9429956,David Frost,
nm9429957,Joan Benham,
nm9429958,Lance Percival,
nm9429959,Martin Miller,
nm9429960,Richard Griffiths,
nm9429961,Tony Haygarth,
nm9429962,Liz Smith,
nm9429963,John Normington,
nm9429964,s a,
nm9429965,sa,
nm9429966,sa,
nm9429967,sa,
nm9429968,Vicki Jenson,
nm9429969,Gibson Frazier,
nm9429970,Len Cariou,
nm9429971,Lise Hilboldt,
nm9429972,Joey Bishop,
nm9429973,Ally Sheedy,
nm9429974,Anthony LaPaglia,
nm9429975,Julie Bovassa,
nm9429976,Dylan Walsh,
nm9429977,Ione Skye,
nm9429978,Faraizu Baik,
nm9429979,Angel Avilea,
nm9429980,Seidy Lopez,
nm9429981,Jacob Vargas,
nm9429982,Sammi Davis,
nm9429983,Amanda deCadenet,
nm9429984,Lili Taylor,
nm9429985,Davis Proval,
nm9429986,Tamlyn Tomita,
nm9429987,Danny Verduzo,
nm9429988,Lana McKissack,
nm9429989,Patricia Vonne Rodriguez,
nm9429990,Alicia Witt,
nm9429991,The Ramones,
nm9429992,Paul Bartel,
nm9429993,Alix Elias,
nm9429994,Jack Wayne,
nm9429995,Jack Coleman,
nm9429996,Kevin Colsonn,
nm9429997,Gaston Batyi,
nm9429998,Jose Sacristan,
nm9429999,Frederico Luppi,
nm9430000,Cecilia Roth,
nm9430001,Leonor Benedetto,
nm9430002,Thais Galizky,
nm9430003,Francesca Bertini,
nm9430004,Gustavo Serena,
nm9430005,Alfredo DeAntoni,
nm9430006,Lido Manetti,
nm9430007,Nella Montagna,
nm9430008,Georges duFresne,
nm9430009,Peter Yellen,
nm9430010,Zoe Lund,
nm9430011,Frankie Thorn,
nm9430012,James Russo,
nm9430013,Gabrielle Anwar,
nm9430014,Terry Kinney,
nm9430015,Reilly Murphy,
nm9430016,s a,
nm9430017,s a,
nm9430018,s a,
nm9430019,David Ebbets,
nm9430020,Ian Richardson,
nm9430021,N. Ottering,
nm9430022,Andrew Robertson,
nm9430023,Sinead Cusack,
nm9430024,Homayoun Ershadi,
nm9430025,s a,
nm9430026,s a,
nm9430027,s a,
nm9430028,Vittorio deSica,
nm9430029,Michael Riley,
nm9430030,Stephen Rappaport,
nm9430031,s a,
nm9430032,Gareth Hughes,
nm9430033,Sam Sothern,
nm9430034,Rudolfo Valentino,
nm9430035,Barbara Greene,
nm9430036,s a,
nm9430037,Garry K. Marshall,
nm9430038,Art Frankel,
nm9430039,s a,
nm9430040,s a,
nm9430041,Phyllis Haver,
nm9430042,Montague Love,
nm9430043,Marc McDermott,
nm9430044,Michael Vavitch,
nm9430045,Pasquale Amato,
nm9430046,Vera Engels,
nm9430047,Charles Waldron,
nm9430048,Mervyn Jones,
nm9430049,Judy Kelly,
nm9430050,Anthony Baird,
nm9430051,Esm\'e Percy,
nm9430052,Elizabeth Welch,
nm9430053,s a,
nm9430054,s a,
nm9430055,Cameron Finley,
nm9430056,Christopher McDonald,
nm9430057,Erik vonDetten,
nm9430058,Pina Menichelli,
nm9430059,Frankie Darro,
nm9430060,Linda Lawson,
nm9430061,Pat Harrington~jr.,
nm9430062,Will Kuluva,
nm9430063,Leonard Weinrib,
nm9430064,Edmon Ryan,
nm9430065,William Sharon,
nm9430066,Will Kuluva,
nm9430067,Wolfe Barzell,
nm9430068,Monica May,
nm9430069,Mary Munday,
nm9430070,Ken Patterson,
nm9430071,Florence McMichael,
nm9430072,Harry Swooger,
nm9430073,Don Keefer,
nm9430074,Lee Phillips,
nm9430075,Les Tremaye,
nm9430076,Ann Stanton,
nm9430077,Edmund Haskin,
nm9430078,John Dennis,
nm9430079,Bert Rensen,
nm9430080,Karl Lukas,
nm9430081,Ada Stewart,
nm9430082,Phil Gordon,
nm9430083,Clegg Hoyt,
nm9430084,Susan Harrison,
nm9430085,John Emery,
nm9430086,Jo vanFleet,
nm9430087,Alice Frost,
nm9430088,Frank Maxwell,
nm9430089,Edmund Hashim,
nm9430090,Jack Ging,
nm9430091,Duke Howard,
nm9430092,Burt Brinckerhoff,
nm9430093,George Clarke,
nm9430094,Joby Baker,
nm9430095,Bernard Kates,
nm9430096,King Calder,
nm9430097,Bob Karnes,
nm9430098,Harry Swoger,
nm9430099,Ted Newton,
nm9430100,Richard Gaines,
nm9430101,Lola Allbright,
nm9430102,Pat Breslin,
nm9430103,Brian Hutton,
nm9430104,Claudia Cravey,
nm9430105,Peggy McKay,
nm9430106,s a,
nm9430107,Katherine Crawford,
nm9430108,Randy Boone,
nm9430109,James Anderson,
nm9430110,Jesse Jacobs,
nm9430111,Russ Conway,
nm9430112,Karl Lukas,
nm9430113,Rose Montiel,
nm9430114,George Costigan,
nm9430115,Siobhan Finneran,
nm9430116,Michelle Holmes,
nm9430117,Lesley Sharp,
nm9430118,Kulvinder Ghir,
nm9430119,Alan Rickman,
nm9430120,Liesel Mathews,
nm9430121,Eleanor Brown,
nm9430122,E-than Hawke,
nm9430123,Diego Luna,
nm9430124,Gael Garcia Bernal,
nm9430125,Maribel Verdu,
nm9430126,sa,
nm9430127,sa,
nm9430128,Catherine Mouchet,
nm9430129,Aurore Prieto,
nm9430130,Sylvie Habault,
nm9430131,Tracey Walker,
nm9430132,Fox Harris,
nm9430133,Chloe Webb,
nm9430134,David Hayman,
nm9430135,Claude Noiller,
nm9430136,Valentine Tessier,
nm9430137,Lea Padovani,
nm9430138,Henri Garcin,
nm9430139,Julien Bertheau,
nm9430140,Semyon Shaigada,
nm9430141,Stepan Shkurat,
nm9430142,Sergei Stolyarov,
nm9430143,Lyda Bonelli,
nm9430144,Mario Bonnard,
nm9430145,Mabel Poulton,
nm9430146,Christopher Dienstag,
nm9430147,Monica Caldwell,
nm9430148,Rosie Perez,
nm9430149,Javier Pardem,
nm9430150,James Gandolfini,
nm9430151,Screamin' Jay Hawkins,
nm9430152,s a,
nm9430153,s a,
nm9430154,Jennifer Beale,
nm9430155,Sunny Johnson,
nm9430156,Kyle T. Hefner,
nm9430157,Irine Cara,
nm9430158,Margaret Whitton,
nm9430159,Roderick Cook,
nm9430160,David Margulin,
nm9430161,Cyntia Cruz,
nm9430162,Raynor Scheine,
nm9430163,Olek Krup,
nm9430164,Dwight West,
nm9430165,Tim Robbins,
nm9430166,Elizabeth Pena,
nm9430167,Danny Aiello,
nm9430168,Patricia Kalember,
nm9430169,Woody Harrison,
nm9430170,Tommy Rile,
nm9430171,Oliver Platt,
nm9430172,Ben Silverstone,
nm9430173,Emma GriffithsMalin,
nm9430174,Suzanne Shepherd,
nm9430175,Oliver Martinez,
nm9430176,Erik Per Sullivan,
nm9430177,Susan Oliver,
nm9430178,Joe Pyne,
nm9430179,Mark Goddard,
nm9430180,The Chocolate Watchband,
nm9430181,New Age,
nm9430182,Joel McCrae,
nm9430183,Arleen Wheelan,
nm9430184,Charles Buchinsky,
nm9430185,Stephen Seagal,
nm9430186,Stephen Seagal,
nm9430187,Viggo Mortensen,
nm9430188,David Suchet,
nm9430189,Pauline Bush,
nm9430190,J.Warren Kerrigan,
nm9430191,Jack Richardson,
nm9430192,George Periolat,
nm9430193,Douglas Fairbanks,
nm9430194,s a,
nm9430195,s a,
nm9430196,Enid Bennett,
nm9430197,Paul McAllister,
nm9430198,Arthur Houseman,
nm9430199,Ann Penningtin,
nm9430200,Pauline Moore,
nm9430201,Thomas beck,
nm9430202,Mady Christians,
nm9430203,Sig Rumann,
nm9430204,Marcia Mae,
nm9430205,Helen Westlet,
nm9430206,Annabelle,
nm9430207,J. Edward Bromberg,
nm9430208,Sig Rumann,
nm9430209,The Ritz~Brothers,
nm9430210,Ish Kabibble,
nm9430211,Ginny Simms,
nm9430212,Artur Franz,
nm9430213,Wally Cassell,
nm9430214,Richard Jaecker,
nm9430215,Barbara Stanwyk,
nm9430216,Lon Chaney~jr,
nm9430217,Coleen Gray,
nm9430218,Anthony caruso,
