id,name,birthYear
nm9423081,Willie Aames,1960
nm9423082,Bud Abbott,1895
nm9423083,Diahnne Abbott,
nm9423084,George Abbott,1887
nm9423085,John Abbott,1905
nm9423086,Philip Abbott,1923
nm9423087,Kareem AbdulJabbar,
nm9423088,Walter Abel,1898
nm9423089,F.Murray Abraham,
nm9423090,James Abrahams,
nm9423091,Maury Abram,
nm9423092,Victoria Abril,
nm9423093,Joss Ackland,1928
nm9423094,Dan Ackroyd,
nm9423095,David Ackroyd,1940
nm9423096,Peter Ackroyd,
nm9423097,Rodolfo Acosta,1920
nm9423098,Eddie Acuff,1902
nm9423099,Jean Adair,1872
nm9423100,Alfred Adam,1909
nm9423101,Ronald Adam,1896
nm9423102,John Adames,
nm9423103,Beverly Adams,1945
nm9423104,Brooke Adams,1949
nm9423105,Catlin Adams,1950
nm9423106,Dorothy Adams,1915
nm9423107,Edie Adams,1929
nm9423108,Jane Adams,1921
nm9423109,Jill Adams,1931
nm9423110,Julie Adams,1926
nm9423111,Maud Adams,1950
nm9423112,Nick Adams,1931
nm9423113,Robert Adams,1906
nm9423114,Sam Adams,
nm9423115,Tome Adams,1938
nm9423116,Dawn Addams,1930
nm9423117,Wesley Addy,1912
nm9423118,Isabelle Adjani,1955
nm9423119,Jay Adler,1899
nm9423120,Luther Adler,1903
nm9423121,Renee Adoree,1898
nm9423122,Mario Adorf,1930
nm9423123,Max Adrian,1902
nm9423124,Ben Affleck,
nm9423125,Casey Affleck,
nm9423126,John Agar,1921
nm9423127,Rati Agnihotri,1960
nm9423128,Jenny Agutter,1952
nm9423129,Brian Aherne,1902
nm9423130,Philip Ahn,1911
nm9423131,Anouk Aimee,1932
nm9423132,Richard Ainley,1910
nm9423133,Maria Aitkins,
nm9423134,Franklyn Ajaye,1949
nm9423135,Muriel Aked,1887
nm9423136,Claude Akins,1918
nm9423137,Serap Aksoy,
nm9423138,Josh Albee,
nm9423139,Anna Maria Alberghetti,1936
nm9423140,Han Albers,1892
nm9423141,Eddie Albert,1908
nm9423142,Edward Albert,1951
nm9423143,Edward Albert~jr.,
nm9423144,William Albert,
nm9423145,Frank Albertson,1907
nm9423146,Jack Albertson,1907
nm9423147,Mabel Albertson,1901
nm9423148,Hardie Albright,1903
nm9423149,Lola Albright,1925
nm9423150,Alan Alda,1936
nm9423151,Robert Alda,1914
nm9423152,Rutanya Alda,
nm9423153,John Alderton,1940
nm9423154,Vera Alentova,
nm9423155,Ben Alexander,1911
nm9423156,Jane Alexander,1939
nm9423157,John Alexander,1901
nm9423158,Katherine Alexander,1901
nm9423159,Ross Alexander,1907
nm9423160,Sandy Alexander,
nm9423161,Terence Alexander,1923
nm9423162,Hope AlexanderWells,
nm9423163,Muhammed Ali,1942
nm9423164,Dorothy Alison,1925
nm9423165,Andrea Allan,
nm9423166,Elizabeth Allan,1908
nm9423167,William Alland,1916
nm9423168,Chesney Allen,1894
nm9423169,Catherine Allegret,
nm9423170,Elizabeth Allen,1934
nm9423171,Fred Allen,1894
nm9423172,Gracie Allen,1902
nm9423173,Karen Allen,1955
nm9423174,Nancy Allen,1954
nm9423175,Patrick Allen,1927
nm9423176,Rae Allen,
nm9423177,Steve Allen,1921
nm9423178,Woody Allen,1935
nm9423179,Joseph Allen~jr.,
nm9423180,Kirstie Alley,
nm9423181,Sara Allgood,1883
nm9423182,Claud Allister,1891
nm9423183,Astrid Allwyn,1909
nm9423184,June Allyson,1917
nm9423185,Pedro Almodovar,
nm9423186,Maria Conchita Alonso,
nm9423187,Corinne Alphen,
nm9423188,Kirk Alyn,1910
nm9423189,Betty Amann,
nm9423190,Leonora Amar,
nm9423191,Don Ameche,1908
nm9423192,Lucio Amelio,
nm9423193,Leon Ames,1903
nm9423194,Ramsay Ames,1919
nm9423195,Suzy Amis,1962
nm9423196,John Amos,
nm9423197,John Amplas,
nm9423198,Dev Anand,
nm9423199,Glenn Anders,1889
nm9423200,Luana Anders,1949
nm9423201,Merry Anders,1932
nm9423202,Bridgette Andersen,
nm9423203,Bibi Anderson,
nm9423204,E. Erich Anderson,
nm9423205,Rochester,1905
nm9423206,G.M. Anderson,1882
nm9423207,Harriet Anderson,
nm9423208,Herbert Anderson,1917
nm9423209,Ingrid Anderson,
nm9423210,Jean Anderson,1908
nm9423211,John Anderson,1922
nm9423212,Judith Anderson,1898
nm9423213,Lindsay Anderson,1923
nm9423214,Loni Anderson,1947
nm9423215,Mary Anderson,1920
nm9423216,Melissa Sue Anderson,
nm9423217,Michael Anderson~jr.,1943
nm9423218,Richard Anderson,1926
nm9423219,Rona Anderson,1926
nm9423220,Warner Anderson,1911
nm9423221,Bibi Andersson,1935
nm9423222,Harriet Andersson,1932
nm9423223,Carole Andre,
nm9423224,Gabe Andre,
nm9423225,Fr\'ed\'ric Andrei,
nm9423226,Ursula Andress,1936
nm9423227,Anthony Andrews,1948
nm9423228,Brian Andrews,
nm9423229,Dana Andrews,1909
nm9423230,Eamonn Andrews,
nm9423231,Edward Andrews,1914
nm9423232,Harry Andrews,1911
nm9423233,Julie Andrews,1934
nm9423234,The Andrews Sisters,n.a.
nm9423235,Stanley Andrews,1892
nm9423236,Heather Angel,1909
